,actual:0,actual:1,actual:2,actual:3,actual:4,actual:5,actual:6,actual:7,actual:8,actual:9,precision
predict:0,55,0,0,0,3,1,0,0,2,0,0.9016393442622951
predict:1,0,109,2,0,0,0,0,0,0,0,0.9819819819819819
predict:2,0,12,130,5,2,0,0,0,14,0,0.7975460122699386
predict:3,7,0,7,90,2,0,0,0,0,0,0.8490566037735849
predict:4,2,0,0,0,30,0,0,0,0,0,0.9375
predict:5,0,0,0,0,0,115,0,0,0,0,1.0
predict:6,0,0,0,0,0,0,71,0,0,0,1.0
predict:7,0,0,0,0,0,0,0,96,0,0,1.0
predict:8,0,0,0,0,2,0,0,0,27,0,0.9310344827586207
predict:9,3,0,22,3,10,0,0,0,6,42,0.4883720930232558
recall,0.8208955223880597,0.9008264462809917,0.8074534161490683,0.9183673469387755,0.6122448979591837,0.9913793103448276,1.0,1.0,0.5510204081632653,1.0,
